email,company_name,website,contact_name,lawful_basis,marketing_consent,provider_reference
dataset-a-001@stage-v-20260618204845.staging.pleerity.com,Stage V Co A001,https://dataset-a-001.example.test,Contact Stage V Co A001,consent,true,csv:stage-v-20260618204845-dataset-a-001
dataset-a-002@stage-v-20260618204845.staging.pleerity.com,Stage V Co A002,https://dataset-a-002.example.test,Contact Stage V Co A002,consent,true,csv:stage-v-20260618204845-dataset-a-002
dataset-a-003@stage-v-20260618204845.staging.pleerity.com,Stage V Co A003,https://dataset-a-003.example.test,Contact Stage V Co A003,consent,true,csv:stage-v-20260618204845-dataset-a-003
dataset-a-004@stage-v-20260618204845.staging.pleerity.com,Stage V Co A004,https://dataset-a-004.example.test,Contact Stage V Co A004,consent,true,csv:stage-v-20260618204845-dataset-a-004
dataset-a-005@stage-v-20260618204845.staging.pleerity.com,Stage V Co A005,https://dataset-a-005.example.test,Contact Stage V Co A005,consent,true,csv:stage-v-20260618204845-dataset-a-005
dataset-a-006@stage-v-20260618204845.staging.pleerity.com,Stage V Co A006,https://dataset-a-006.example.test,Contact Stage V Co A006,consent,true,csv:stage-v-20260618204845-dataset-a-006
dataset-a-007@stage-v-20260618204845.staging.pleerity.com,Stage V Co A007,https://dataset-a-007.example.test,Contact Stage V Co A007,consent,true,csv:stage-v-20260618204845-dataset-a-007
dataset-a-008@stage-v-20260618204845.staging.pleerity.com,Stage V Co A008,https://dataset-a-008.example.test,Contact Stage V Co A008,consent,true,csv:stage-v-20260618204845-dataset-a-008
dataset-a-009@stage-v-20260618204845.staging.pleerity.com,Stage V Co A009,https://dataset-a-009.example.test,Contact Stage V Co A009,consent,true,csv:stage-v-20260618204845-dataset-a-009
dataset-a-010@stage-v-20260618204845.staging.pleerity.com,Stage V Co A010,https://dataset-a-010.example.test,Contact Stage V Co A010,consent,true,csv:stage-v-20260618204845-dataset-a-010
dataset-a-011@stage-v-20260618204845.staging.pleerity.com,Stage V Co A011,https://dataset-a-011.example.test,Contact Stage V Co A011,consent,true,csv:stage-v-20260618204845-dataset-a-011
dataset-a-012@stage-v-20260618204845.staging.pleerity.com,Stage V Co A012,https://dataset-a-012.example.test,Contact Stage V Co A012,consent,true,csv:stage-v-20260618204845-dataset-a-012
dataset-a-013@stage-v-20260618204845.staging.pleerity.com,Stage V Co A013,https://dataset-a-013.example.test,Contact Stage V Co A013,consent,true,csv:stage-v-20260618204845-dataset-a-013
dataset-a-014@stage-v-20260618204845.staging.pleerity.com,Stage V Co A014,https://dataset-a-014.example.test,Contact Stage V Co A014,consent,true,csv:stage-v-20260618204845-dataset-a-014
dataset-a-015@stage-v-20260618204845.staging.pleerity.com,Stage V Co A015,https://dataset-a-015.example.test,Contact Stage V Co A015,consent,true,csv:stage-v-20260618204845-dataset-a-015
dataset-a-016@stage-v-20260618204845.staging.pleerity.com,Stage V Co A016,https://dataset-a-016.example.test,Contact Stage V Co A016,consent,true,csv:stage-v-20260618204845-dataset-a-016
dataset-a-017@stage-v-20260618204845.staging.pleerity.com,Stage V Co A017,https://dataset-a-017.example.test,Contact Stage V Co A017,consent,true,csv:stage-v-20260618204845-dataset-a-017
dataset-a-018@stage-v-20260618204845.staging.pleerity.com,Stage V Co A018,https://dataset-a-018.example.test,Contact Stage V Co A018,consent,true,csv:stage-v-20260618204845-dataset-a-018
dataset-a-019@stage-v-20260618204845.staging.pleerity.com,Stage V Co A019,https://dataset-a-019.example.test,Contact Stage V Co A019,consent,true,csv:stage-v-20260618204845-dataset-a-019
dataset-a-020@stage-v-20260618204845.staging.pleerity.com,Stage V Co A020,https://dataset-a-020.example.test,Contact Stage V Co A020,consent,true,csv:stage-v-20260618204845-dataset-a-020
dataset-a-021@stage-v-20260618204845.staging.pleerity.com,Stage V Co A021,https://dataset-a-021.example.test,Contact Stage V Co A021,consent,true,csv:stage-v-20260618204845-dataset-a-021
