email,company_name,website,contact_name,lawful_basis,marketing_consent,provider_reference
dataset-b-001@stage-v-20260618204845.staging.pleerity.com,Stage V Co B001,https://dataset-b-001.example.test,Contact Stage V Co B001,consent,true,csv:stage-v-20260618204845-dataset-b-001
dataset-b-002@stage-v-20260618204845.staging.pleerity.com,Stage V Co B002,https://dataset-b-002.example.test,Contact Stage V Co B002,consent,true,csv:stage-v-20260618204845-dataset-b-002
dataset-b-003@stage-v-20260618204845.staging.pleerity.com,Stage V Co B003,https://dataset-b-003.example.test,Contact Stage V Co B003,consent,true,csv:stage-v-20260618204845-dataset-b-003
dataset-b-004@stage-v-20260618204845.staging.pleerity.com,Stage V Co B004,https://dataset-b-004.example.test,Contact Stage V Co B004,consent,true,csv:stage-v-20260618204845-dataset-b-004
dataset-b-005@stage-v-20260618204845.staging.pleerity.com,Stage V Co B005,https://dataset-b-005.example.test,Contact Stage V Co B005,consent,true,csv:stage-v-20260618204845-dataset-b-005
dataset-b-006@stage-v-20260618204845.staging.pleerity.com,Stage V Co B006,https://dataset-b-006.example.test,Contact Stage V Co B006,consent,true,csv:stage-v-20260618204845-dataset-b-006
dataset-b-007@stage-v-20260618204845.staging.pleerity.com,Stage V Co B007,https://dataset-b-007.example.test,Contact Stage V Co B007,consent,true,csv:stage-v-20260618204845-dataset-b-007
dataset-b-008@stage-v-20260618204845.staging.pleerity.com,Stage V Co B008,https://dataset-b-008.example.test,Contact Stage V Co B008,consent,true,csv:stage-v-20260618204845-dataset-b-008
dataset-b-009@stage-v-20260618204845.staging.pleerity.com,Stage V Co B009,https://dataset-b-009.example.test,Contact Stage V Co B009,consent,true,csv:stage-v-20260618204845-dataset-b-009
dataset-b-010@stage-v-20260618204845.staging.pleerity.com,Stage V Co B010,https://dataset-b-010.example.test,Contact Stage V Co B010,consent,true,csv:stage-v-20260618204845-dataset-b-010
dataset-b-011@stage-v-20260618204845.staging.pleerity.com,Stage V Co B011,https://dataset-b-011.example.test,Contact Stage V Co B011,consent,true,csv:stage-v-20260618204845-dataset-b-011
